Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.242812	0.230133	91.268333	92.090000	
0.100000	0.242085	0.246363	91.305000	91.130000	
0.100000	0.237057	0.300173	91.380000	89.070000	
0.100000	0.240539	0.218840	91.225000	92.240000	
0.100000	0.240041	0.230554	91.308333	92.180000	
0.100000	0.239378	0.211105	91.291667	92.240000	
0.100000	0.240872	0.223617	91.240000	91.940000	
0.100000	0.238247	0.236299	91.408333	91.480000	
0.100000	0.236896	0.234095	91.375000	91.810000	
0.100000	0.239211	0.218969	91.301667	91.860000	
0.100000	0.236414	0.303415	91.555000	89.100000	
0.100000	0.241825	0.202599	91.276667	92.770000	
0.100000	0.236265	0.338394	91.496667	87.300000	
0.100000	0.239014	0.269463	91.365000	90.630000	
0.100000	0.241122	0.307263	91.390000	89.100000	
0.100000	0.238249	0.219317	91.430000	91.980000	
0.100000	0.240669	0.282849	91.343333	89.540000	
0.100000	0.237426	0.224449	91.336667	91.820000	
0.100000	0.241542	0.219524	91.225000	91.970000	
0.100000	0.237815	0.252402	91.378333	90.780000	
0.100000	0.238923	0.232098	91.365000	91.530000	
0.100000	0.237749	0.217733	91.395000	92.150000	
0.100000	0.238620	0.219764	91.293333	92.080000	
0.100000	0.237359	0.290448	91.418333	89.650000	
0.100000	0.239109	0.192028	91.306667	92.940000	
0.100000	0.237972	0.252749	91.385000	90.970000	
0.100000	0.238732	0.233461	91.345000	91.700000	
0.100000	0.236860	0.247158	91.413333	91.270000	
0.100000	0.240442	0.239185	91.300000	91.130000	
0.100000	0.238081	0.299543	91.411667	89.600000	
0.100000	0.238801	0.255477	91.411667	91.180000	
0.100000	0.237504	0.213811	91.435000	92.170000	
0.100000	0.236438	0.206377	91.480000	92.590000	
0.100000	0.237079	0.216975	91.505000	92.380000	
0.100000	0.237814	0.247214	91.396667	90.620000	
0.100000	0.234795	0.285051	91.503333	89.820000	
0.100000	0.239292	0.229627	91.408333	91.400000	
0.100000	0.238201	0.236050	91.385000	91.350000	
0.100000	0.235464	0.226424	91.383333	91.900000	
0.100000	0.234448	0.195384	91.573333	92.880000	
0.100000	0.237489	0.237945	91.356667	91.730000	
0.100000	0.234757	0.260614	91.596667	90.850000	
0.100000	0.238428	0.245575	91.273333	91.110000	
0.100000	0.235235	0.197926	91.440000	92.920000	
0.100000	0.234511	0.225698	91.521667	92.150000	
0.100000	0.235694	0.216387	91.456667	92.510000	
0.100000	0.232011	0.350671	91.735000	87.730000	
0.100000	0.236119	0.228491	91.536667	91.880000	
0.100000	0.238560	0.296108	91.401667	89.780000	
0.100000	0.240289	0.207244	91.255000	92.480000	
0.100000	0.232719	0.237823	91.716667	91.360000	
0.100000	0.237910	0.211990	91.311667	92.580000	
0.100000	0.236317	0.258550	91.536667	90.740000	
0.100000	0.235790	0.198006	91.388333	92.960000	
0.100000	0.235285	0.281657	91.470000	90.180000	
0.100000	0.234093	0.223835	91.565000	92.000000	
0.100000	0.236679	0.205928	91.525000	92.580000	
0.100000	0.233377	0.219969	91.516667	92.310000	
0.100000	0.237751	0.215543	91.510000	92.230000	
0.100000	0.239149	0.210993	91.323333	92.390000	
0.100000	0.235265	0.194170	91.428333	92.860000	
0.100000	0.232158	0.368272	91.565000	86.930000	
0.100000	0.234933	0.209056	91.556667	92.550000	
0.100000	0.237900	0.210040	91.453333	92.570000	
0.100000	0.234293	0.216676	91.523333	92.480000	
0.100000	0.236117	0.289150	91.541667	89.940000	
0.100000	0.235166	0.317208	91.481667	89.950000	
0.100000	0.237212	0.271121	91.305000	90.580000	
0.100000	0.237337	0.244120	91.463333	91.170000	
0.100000	0.231419	0.260974	91.643333	90.440000	
0.100000	0.237122	0.243355	91.471667	90.800000	
0.100000	0.242116	0.280975	91.310000	90.320000	
0.100000	0.234900	0.270441	91.560000	90.340000	
0.100000	0.238853	0.206609	91.321667	92.690000	
0.100000	0.235124	0.207619	91.425000	92.480000	
0.100000	0.235713	0.216942	91.440000	92.290000	
0.100000	0.236991	0.211767	91.286667	92.450000	
0.100000	0.236546	0.232661	91.576667	91.780000	
0.100000	0.232193	0.218951	91.625000	92.100000	
0.100000	0.237404	0.239070	91.408333	91.340000	
0.100000	0.234077	0.220736	91.455000	92.390000	
0.100000	0.233468	0.202333	91.610000	92.660000	
0.100000	0.237594	0.237644	91.448333	91.860000	
0.100000	0.234222	0.230586	91.555000	91.720000	
0.100000	0.237785	0.300757	91.495000	89.610000	
0.100000	0.234921	0.294817	91.508333	89.650000	
0.100000	0.232430	0.283207	91.588333	89.990000	
0.100000	0.238306	0.229894	91.360000	91.530000	
0.100000	0.235575	0.323266	91.471667	89.660000	
0.100000	0.233541	0.235995	91.516667	91.610000	
0.100000	0.238932	0.215282	91.236667	92.210000	
0.100000	0.233317	0.227317	91.655000	92.000000	
0.100000	0.233575	0.213137	91.645000	92.660000	
0.100000	0.236259	0.257557	91.610000	91.060000	
0.100000	0.235597	0.215998	91.530000	92.190000	
0.100000	0.236731	0.210141	91.326667	92.290000	
0.100000	0.237356	0.211712	91.390000	92.450000	
0.010000	0.170245	0.146834	93.881667	94.750000	
0.010000	0.148596	0.146148	94.681667	94.820000	
0.010000	0.144150	0.141407	94.861667	94.960000	
0.010000	0.137678	0.140428	95.153333	95.200000	
0.010000	0.133874	0.139301	95.225000	95.120000	
0.010000	0.130178	0.138930	95.365000	95.090000	
0.010000	0.125320	0.140882	95.456667	95.270000	
0.010000	0.124497	0.143042	95.613333	95.080000	
0.010000	0.121697	0.149637	95.690000	94.940000	
0.010000	0.121520	0.143619	95.566667	94.970000	
0.010000	0.119926	0.143381	95.680000	94.900000	
0.010000	0.115455	0.141177	95.883333	94.870000	
0.010000	0.115229	0.152772	95.858333	94.940000	
0.010000	0.114268	0.144274	95.811667	95.140000	
0.010000	0.116444	0.155736	95.840000	94.750000	
0.010000	0.113096	0.156032	95.950000	94.860000	
0.010000	0.111764	0.153771	95.996667	94.790000	
0.010000	0.111272	0.152808	96.036667	95.020000	
0.010000	0.112934	0.155096	95.960000	94.790000	
0.010000	0.110646	0.155830	96.030000	94.740000	
0.010000	0.109442	0.153254	96.046667	94.880000	
0.010000	0.108899	0.168223	96.115000	94.500000	
0.010000	0.110559	0.151040	96.030000	95.080000	
0.010000	0.109495	0.150378	96.106667	95.050000	
0.010000	0.108594	0.165802	96.156667	94.580000	
0.010000	0.104981	0.157719	96.191667	94.810000	
0.010000	0.107582	0.149588	96.106667	95.030000	
0.010000	0.106247	0.159546	96.221667	94.960000	
0.010000	0.106472	0.145363	96.231667	95.300000	
0.010000	0.105491	0.155820	96.283333	95.070000	
0.010000	0.105025	0.156915	96.230000	94.810000	
0.010000	0.104626	0.159594	96.290000	94.920000	
